origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,178.57,0
Algeria,7,247.54999999999998,0
Argentina,4,197.025,0
Australia,179,127.16569832402234,52
Austria,74,173.57135135135135,10
Bahamas,1,232.54,0
Bahrain,7,238.56,0
Bangladesh,3,184.78333333333333,0
Belgium,8,165.76125,2
Brazil,95,195.11568421052633,4
Brunei Darussalam,2,269.895,0
Bulgaria,3,213.18666666666664,0
Canada,414,135.9723244552058,105
Chile,21,195.2461904761905,1
China,105,207.71428571428572,8
Colombia,18,113.25166666666667,5
Czech Republic,6,119.01833333333333,2
Denmark,5,126.492,1
Dominican Republic,2,142.75,0
Ecuador,1,117.0,0
Egypt,11,216.3436363636364,0
El Salvador,1,52.1,0
Estonia,2,105.25999999999999,1
Ethiopia,18,198.71833333333333,3
Finland,16,118.356875,4
France,98,182.13183673469385,7
Georgia,3,97.39666666666666,2
Germany,71,162.26901408450703,13
Greece,7,182.09857142857143,1
Guatemala,5,67.32000000000001,1
Hungary,39,166.87473684210525,8
Iceland,9,201.08777777777777,1
India,75,208.23586666666668,6
Indonesia,11,192.9909090909091,2
Iraq,1,285.31,0
Ireland,132,177.74992424242424,9
Islamic Republic of Iran,2,198.68,0
Israel,13,220.89307692307693,1
Italy,2,140.8,0
Japan,68,181.5120588235294,11
Jordan,1,270.97,0
Kazakhstan,2,4.359999999999999,0
Kenya,2,281.95500000000004,0
Kingdom of the Netherlands,84,187.74297619047618,7
Kuwait,3,150.09666666666666,1
Lao People's Democratic Republic,1,215.83,0
Latvia,5,202.244,0
Lebanon,2,215.40499999999997,0
Libyan Arab Jamahiriya,2,247.725,0
Lithuania,8,157.82625000000002,2
Luxembourg,13,206.8823076923077,1
Malaysia,29,183.94034482758622,4
Malta,87,180.51344827586206,6
Mauritius,1,195.97,0
Mexico,87,191.57540229885058,5
Morocco,8,211.0725,0
Nepal,1,137.23,0
New Zealand,47,110.39787234042552,2
Nigeria,1,196.32,0
Norway,9,247.67555555555555,0
Oman,8,262.085,0
Pakistan,8,230.25,0
Panama,18,193.94611111111112,2
Philippines,32,158.7596875,5
Poland,47,181.28851063829785,2
Portugal,30,207.23,1
Qatar,43,169.88232558139535,6
Republic of Korea,73,199.1395890410959,6
Republic of Moldova,1,273.04,0
Romania,2,211.48000000000002,0
Russian Federation,4,154.925,0
Rwanda,1,251.53,0
San Marino,1,180.37,0
Saudi Arabia,12,229.87750000000003,0
Serbia,4,182.1525,0
Singapore,44,218.89136363636362,1
Slovakia,2,196.89499999999998,0
Slovenia,1,59.27,0
South Africa,2,41.735,0
Spain,76,177.70855263157895,7
Sri Lanka,4,266.32,0
Sweden,11,202.83090909090907,1
Switzerland,45,126.75177777777778,13
Taiwan,24,196.00125,1
Thailand,35,211.874,2
Trinidad and Tobago,4,221.9625,0
Tunisia,6,228.18833333333336,0
Turkey,88,192.5465909090909,7
Ukraine,2,201.21499999999997,0
United Arab Emirates,90,224.382,3
United Kingdom,255,184.84592156862746,17
United Republic of Tanzania,1,137.31,0
United States,5245,143.2092068636797,391
Uzbekistan,1,174.42,0
Vanuatu,1,70.57,0
Venezuela,1,115.96,0
Viet Nam,34,226.56617647058823,0
